sa2_main11, lf_4, year_
"201021012",5.0,2011
"201031013",5.7,2011
"201031014",7.8,2011
"201031015",6.2,2011
"209021208",6.3,2011
"202021031",3.9,2011
"202031032",4.8,2011
"202031033",5.8,2011
"203011034",3.7,2011
"203011035",3.9,2011
"203011036",3.8,2011
"209031209",3.7,2011
"203021045",6.0,2011
"209031210",3.5,2011
"209031211",4.8,2011
"209031212",3.7,2011
"209031213",3.0,2011
"203021046",4.3,2011
"203021047",6.4,2011
"209031214",3.3,2011
"211031267",4.2,2011
"203031050",4.2,2011
"203031051",7.6,2011
"203031052",4.0,2011
"203031053",3.8,2011
"204011054",4.3,2011
"204011055",4.2,2011
"204011056",5.0,2011
"204011057",2.6,2011
"204011058",4.3,2011
"204011059",7.5,2011
"204011060",4.7,2011
"204011061",14.0,2011
"204011062",4.6,2011
"204021063",5.1,2011
"204021064",4.0,2011
"204021065",3.7,2011
"204021066",5.4,2011
"204021067",3.4,2011
"209041224",4.3,2011
"204031069",3.8,2011
"204031070",4.9,2011
"204031071",5.5,2011
"204031072",4.0,2011
"204031073",5.6,2011
"204031074",5.6,2011
"204031075",3.3,2011
"205011076",5.1,2011
"205011077",4.5,2011
"205011078",4.8,2011
"205011079",4.9,2011
"205021080",0.0,2011
"205021081",5.4,2011
"205021082",4.6,2011
"205021083",0.0,2011
"205021084",6.2,2011
"205021085",6.3,2011
"201011001",4.2,2011
"205021086",5.2,2011
"205031087",3.2,2011
"201011007",4.0,2011
"201011002",5.7,2011
"201011008",7.0,2011
"201011003",5.4,2011
"201021009",4.3,2011
"201021010",5.6,2011
"201021011",5.1,2011
"201011004",6.9,2011
"201011005",5.3,2011
"201011006",5.1,2011
"201031016",6.6,2011
"201031017",6.9,2011
"205031088",5.4,2011
"205031089",4.2,2011
"202011018",7.1,2011
"205031090",3.7,2011
"205031091",5.1,2011
"202011019",6.6,2011
"205031092",0.0,2011
"205031093",4.6,2011
"205041094",7.4,2011
"205041095",10.0,2011
"202011020",4.7,2011
"205041096",12.2,2011
"205041097",5.7,2011
"202011021",5.5,2011
"202011022",5.5,2011
"202011023",3.0,2011
"202011024",3.5,2011
"205041098",5.0,2011
"205051099",0.0,2011
"205051100",5.8,2011
"205051101",4.8,2011
"202011025",3.9,2011
"202021026",3.8,2011
"205051102",5.4,2011
"205051103",5.5,2011
"205051104",4.6,2011
"209041225",3.5,2011
"202021027",5.1,2011
"202021028",4.9,2011
"202021029",6.0,2011
"202021030",4.2,2011
"203021037",5.7,2011
"203021038",10.9,2011
"203021039",5.7,2011
"206071142",6.2,2011
"203021040",5.4,2011
"203021041",4.2,2011
"203021042",4.6,2011
"203021043",4.2,2011
"203021044",4.0,2011
"203031048",4.5,2011
"203031049",4.1,2011
"204031068",4.0,2011
"206011105",5.9,2011
"206011106",5.5,2011
"206011107",6.0,2011
"208021179",4.1,2011
"206011108",5.9,2011
"206011109",4.2,2011
"206021110",3.7,2011
"213011328",10.4,2011
"206021111",4.4,2011
"208021180",5.9,2011
"206021112",5.0,2011
"206041117",14.0,2011
"206031113",5.8,2011
"206041118",4.8,2011
"206031114",4.2,2011
"206031115",8.4,2011
"206041119",3.5,2011
"206041120",4.8,2011
"206031116",3.7,2011
"206061135",4.1,2011
"206041121",4.6,2011
"206041122",10.8,2011
"206041123",8.3,2011
"206041124",12.4,2011
"206041125",4.0,2011
"206041126",5.8,2011
"206041127",0.0,2011
"206051128",3.9,2011
"206051129",3.8,2011
"206051130",3.8,2011
"206051131",0.0,2011
"206061136",4.1,2011
"206051132",5.0,2011
"206061137",4.8,2011
"206051133",4.8,2011
"206051134",4.7,2011
"206061138",4.1,2011
"206071140",4.6,2011
"206071139",4.5,2011
"206071141",6.8,2011
"206071143",4.2,2011
"206071144",4.3,2011
"206071145",4.5,2011
"207011152",4.3,2011
"207011146",5.4,2011
"207011153",4.1,2011
"207011147",4.7,2011
"207011149",4.0,2011
"207011148",4.9,2011
"207011150",4.2,2011
"207011151",5.3,2011
"207011154",3.9,2011
"207011155",3.9,2011
"207021156",4.0,2011
"207021157",5.7,2011
"207021158",5.6,2011
"207021159",4.5,2011
"207021160",4.6,2011
"207031161",4.3,2011
"207031162",4.3,2011
"207031163",7.0,2011
"207031164",5.7,2011
"207031167",4.7,2011
"207031165",9.4,2011
"207031166",6.1,2011
"208011168",3.1,2011
"208011169",3.7,2011
"208011170",4.2,2011
"208011171",3.9,2011
"210011226",4.6,2011
"208011172",4.4,2011
"208021174",4.3,2011
"208011173",3.6,2011
"208021175",4.5,2011
"208021176",5.3,2011
"208021177",4.5,2011
"208021178",4.4,2011
"208021181",4.4,2011
"208021182",5.9,2011
"208031183",3.7,2011
"208031184",0.0,2011
"208031185",4.8,2011
"208031186",4.9,2011
"208031187",4.6,2011
"208031188",4.3,2011
"208031190",3.8,2011
"208031189",4.0,2011
"208031191",4.1,2011
"208031192",0.0,2011
"210011227",0.0,2011
"208031193",3.7,2011
"210011229",4.6,2011
"210011230",3.3,2011
"208041194",4.2,2011
"210021235",3.7,2011
"208041195",5.0,2011
"209011196",5.7,2011
"209011197",3.8,2011
"209011204",3.8,2011
"209011198",4.3,2011
"209021205",9.9,2011
"209011199",7.6,2011
"209011200",4.4,2011
"209011201",3.7,2011
"209011202",3.7,2011
"209011203",4.1,2011
"209021206",6.8,2011
"209021207",7.6,2011
"209031215",3.5,2011
"211031268",3.6,2011
"209041216",5.5,2011
"209041217",6.1,2011
"209041218",5.8,2011
"210031236",5.9,2011
"210031237",7.6,2011
"209041219",8.5,2011
"210051244",6.2,2011
"209041220",4.8,2011
"209041221",6.3,2011
"209041222",3.9,2011
"209041223",8.3,2011
"210011228",3.9,2011
"210011231",4.1,2011
"210021232",3.3,2011
"210021233",3.8,2011
"210021234",2.8,2011
"210031238",6.4,2011
"210051247",12.0,2011
"210051248",5.2,2011
"210031239",4.9,2011
"210041240",4.3,2011
"210041241",4.4,2011
"210051242",12.7,2011
"210051250",5.5,2011
"211011251",5.4,2011
"210051243",13.2,2011
"210051245",5.3,2011
"210051246",4.1,2011
"211011252",4.5,2011
"210051249",8.8,2011
"211011254",4.9,2011
"211011253",4.5,2011
"211011255",4.0,2011
"211021262",3.6,2011
"211011256",4.7,2011
"211011257",4.1,2011
"211031264",4.6,2011
"211031265",3.6,2011
"211011258",4.0,2011
"211011259",4.2,2011
"211011260",4.9,2011
"211021261",3.8,2011
"211031263",4.4,2011
"211031266",5.2,2011
"211041269",4.7,2011
"211041270",4.5,2011
"211041271",4.9,2011
"211051277",4.1,2011
"211041272",4.3,2011
"211041273",4.2,2011
"211051274",4.4,2011
"211051278",3.8,2011
"211051275",3.5,2011
"211051276",4.0,2011
"211051279",3.7,2011
"214011376",3.9,2011
"211051280",3.6,2011
"211051281",3.9,2011
"211051282",3.8,2011
"212011288",3.5,2011
"212011289",4.1,2011
"212011290",3.8,2011
"214021381",3.2,2011
"211051283",4.1,2011
"212031300",7.3,2011
