score, sa2_code
968,"216021414"
936,"213011331"
1110,"206041125"
1034,"207031166"
1106,"207031167"
1036,"206011105"
1052,"206011106"
886,"206031115"
1090,"206041118"
1117,"206041119"
1074,"206041120"
1092,"206041126"
1094,"208011170"
1060,"208011171"
1063,"206051130"
1049,"201011001"
967,"213031351"
1057,"206051134"
1091,"206061135"
1055,"213041360"
1028,"201011002"
992,"213051368"
999,"213051369"
1059,"206061136"
894,"206071141"
913,"201011008"
1012,"201021009"
968,"201021010"
996,"201021011"
1016,"201021012"
929,"201031013"
947,"201031014"
990,"201031015"
949,"206071142"
1001,"202011021"
953,"202011022"
1083,"202011023"
1086,"202011024"
1061,"208011172"
994,"201011003"
1067,"208021174"
938,"201011004"
1072,"201011005"
967,"201011006"
1042,"201011007"
885,"201031016"
935,"201031017"
1057,"208021175"
926,"202011018"
903,"202011019"
1013,"202011025"
1056,"202021026"
1006,"202011020"
1062,"203021046"
956,"203021047"
973,"202021027"
996,"202021028"
936,"202021029"
1002,"202021030"
1061,"202021031"
991,"202031032"
932,"202031033"
1059,"203011034"
1027,"203011035"
1036,"203011036"
936,"204021063"
1022,"204021064"
974,"204021065"
956,"204021066"
1029,"204021067"
995,"203021037"
836,"203021038"
990,"205021082"
953,"205021084"
922,"205021085"
990,"205021086"
991,"205031087"
995,"205031088"
997,"205031089"
1010,"205031090"
997,"205031091"
967,"205031093"
986,"205041094"
889,"205041095"
846,"205041096"
991,"205041097"
996,"203021039"
1010,"205041098"
979,"205051100"
979,"205051101"
994,"205051102"
972,"205051103"
949,"205051104"
1056,"208021176"
1003,"203021040"
1029,"208021180"
1032,"203021041"
1075,"203021042"
1032,"203021043"
1073,"208021181"
1035,"203021044"
920,"203021045"
1023,"203031048"
1049,"203031049"
1059,"203031050"
954,"203031051"
1059,"203031052"
1084,"203031053"
984,"204011054"
968,"204011055"
998,"204011056"
1013,"204011057"
974,"204011058"
899,"204011059"
1045,"204011060"
846,"204011061"
989,"204011062"
1002,"204031068"
1005,"204031069"
1006,"204031070"
957,"204031071"
996,"204031072"
986,"204031073"
967,"204031074"
1050,"204031075"
982,"205011076"
1013,"205011077"
1005,"205011078"
1003,"205011079"
949,"205021081"
1023,"206011107"
1052,"206071143"
1006,"206011108"
1046,"206011109"
1018,"206071144"
1080,"206071145"
1066,"206021110"
1059,"208021182"
1047,"206021111"
1088,"208031183"
1020,"206021112"
1042,"206041121"
990,"206031113"
1002,"206041122"
1030,"208031187"
1073,"206031114"
1060,"206031116"
939,"206041117"
983,"206041123"
1053,"206041124"
1090,"206051128"
1091,"206051129"
1027,"206051132"
1059,"206051133"
1056,"206061137"
1110,"206061138"
1054,"206071139"
1077,"206071140"
1059,"207011146"
1082,"207011147"
1087,"207011148"
1112,"207011149"
1115,"207011155"
1049,"207021156"
1047,"207021157"
1056,"207021158"
1091,"207021159"
1118,"207011150"
1089,"207011151"
1098,"207011152"
1100,"207011153"
1092,"207011154"
1068,"207021160"
1073,"207031161"
1050,"207031162"
1021,"211031264"
1022,"207031163"
1010,"207031165"
1051,"207031164"
1115,"208011168"
1040,"208031188"
1108,"208011169"
1090,"211031265"
1098,"208011173"
1086,"208021177"
1086,"208021178"
1079,"208021179"
1043,"208031185"
1012,"208031186"
1061,"208031189"
1025,"209011196"
1068,"209011197"
1058,"208031190"
1056,"208031191"
1063,"208031193"
1032,"209011204"
1035,"209021205"
1099,"208041194"
1094,"211031268"
1091,"208041195"
1073,"209011198"
992,"209041217"
986,"209041218"
900,"209011199"
1073,"209011200"
1118,"209011201"
1074,"209011202"
1065,"209011203"
976,"209021206"
928,"209021207"
951,"209021208"
1103,"209031209"
1075,"209031210"
1028,"209031211"
1083,"209031212"
1102,"209031213"
1118,"209031214"
1090,"209031215"
1006,"210011226"
1050,"209041216"
970,"210031236"
902,"210031237"
879,"209041219"
1030,"209041220"
1087,"211011257"
1004,"209041221"
1063,"209041222"
878,"209041223"
1028,"209041224"
1034,"209041225"
1055,"210011228"
1013,"210011229"
1056,"210011230"
1086,"210011231"
1082,"210021232"
1069,"212051323"
1094,"210021233"
1090,"210021234"
1041,"210021235"
947,"210031238"
1054,"211051275"
1009,"211051276"
1020,"210031239"
1053,"210041240"
1027,"210041241"
1013,"211051277"
1038,"211051278"
786,"210051242"
1024,"211041269"
1060,"211041270"
1041,"211051279"
795,"210051243"
993,"210051244"
1003,"210051245"
1062,"210051246"
821,"210051247"
1070,"210051248"
928,"210051249"
973,"210051250"
1003,"211011251"
1021,"211011252"
1029,"211011253"
1048,"211011254"
1102,"211011255"
1000,"212031302"
1069,"211011256"
1093,"211011258"
1062,"211011259"
1062,"211011260"
1101,"211021261"
1108,"211021262"
